,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,459.13,354.15,-1.24,880.58,618.4,1.34
1,2,10000,667.45,269.85,89.36,892.97,813.0,2.64
2,3,15000,712.89,210.9,98.35,866.9,914.1,3.96
3,4,20000,697.78,193.34,152.87,888.2,914.0,5.27
4,5,25000,716.03,241.63,49.08,947.87,908.0,6.58
5,6,30000,779.66,248.75,58.26,946.91,903.9,7.89
6,7,35000,751.31,220.67,315.67,936.33,853.2,9.18
7,8,40000,688.67,333.76,12.91,968.02,806.0,10.48
8,9,45000,916.51,162.92,687.24,1225.17,1000.0,11.81
9,10,50000,878.9,273.68,81.43,1117.72,907.8,13.12
10,11,55000,789.57,361.68,102.26,1286.51,900.3,14.42
11,12,60000,416.93,336.33,32.28,1004.66,420.0,15.68
12,13,65000,1009.91,371.06,127.72,1467.1,908.7,16.99
13,14,70000,686.83,375.71,41.44,1096.97,661.0,18.28
14,15,75000,508.63,333.55,63.13,975.9,441.2,19.53
15,16,80000,806.99,576.97,74.7,1612.23,581.9,20.8
16,17,85000,768.64,426.28,60.01,1388.51,671.7,22.09
17,18,90000,778.39,359.28,284.1,1261.93,638.8,23.36
18,19,95000,957.82,323.77,160.38,1414.41,736.0,24.65
19,20,100000,841.58,331.31,245.63,1166.41,715.3,25.93
20,21,105000,1193.46,394.02,532.19,1987.78,812.8,27.23
21,22,110000,1287.46,545.81,462.21,2089.32,852.2,28.54
22,23,115000,1282.28,706.52,13.04,2118.04,795.0,29.83
23,24,120000,389.31,280.5,78.44,1063.53,232.7,31.06
24,25,125000,992.82,513.12,55.13,1655.79,741.4,32.37
25,26,130000,945.26,557.99,15.71,1704.18,632.3,33.64
26,27,135000,1153.99,622.32,234.36,2251.81,704.0,34.93
27,28,140000,1256.81,467.74,310.0,2320.65,783.2,36.22
28,29,145000,741.7,439.29,70.96,1467.03,415.8,37.47
29,30,150000,2149.08,460.3,1220.87,2525.64,956.6,38.8
30,31,155000,1979.47,479.84,1025.28,2518.4,937.8,40.11
31,32,160000,2067.71,909.92,229.59,2805.11,909.8,41.42
32,33,165000,1691.89,922.8,135.4,2790.28,840.7,42.74
33,34,170000,2323.6,521.38,1140.67,2745.57,1000.0,44.05
34,35,175000,1466.6,822.54,427.28,3046.47,652.8,45.32
35,36,180000,2662.43,594.28,1566.61,3236.99,955.3,46.63
36,37,185000,1699.95,977.96,18.59,3158.65,634.5,47.9
37,38,190000,3268.37,108.6,3124.67,3448.22,1000.0,49.22
38,39,195000,2789.6,593.05,1164.24,3205.97,911.2,50.51
39,40,200000,1812.85,1066.59,165.26,3129.96,599.3,51.78
40,41,205000,2192.84,705.73,767.97,2686.26,927.3,53.1
41,42,210000,2965.49,356.29,1993.88,3238.68,985.0,54.41
42,43,215000,3366.13,134.49,3153.43,3579.17,1000.0,55.72
43,44,220000,2284.11,1332.46,352.31,3649.95,690.7,57.0
44,45,225000,3205.28,526.13,2145.01,3572.1,1000.0,58.32
45,46,230000,3007.51,871.8,1256.73,3679.2,909.3,59.62
46,47,235000,3641.47,90.58,3481.42,3820.24,1000.0,60.93
47,48,240000,3966.57,323.53,3057.29,4261.94,1000.0,62.24
48,49,245000,2549.94,1063.3,534.39,3765.75,838.8,63.54
49,50,250000,4200.24,591.56,2490.74,4668.72,1000.0,64.85
50,51,255000,4332.19,52.22,4256.7,4456.5,1000.0,66.16
51,52,260000,1338.57,1210.2,122.55,4012.58,333.8,67.41
52,53,265000,3135.76,1399.15,107.34,4553.05,777.8,68.71
53,54,270000,2898.68,1539.22,509.08,4572.96,713.2,69.99
54,55,275000,3032.96,1470.43,267.78,4593.83,756.3,71.29
55,56,280000,4361.48,769.66,2070.61,4782.19,1000.0,72.61
56,57,285000,1472.83,1568.81,11.59,4367.31,347.6,73.85
57,58,290000,3252.59,1118.54,1215.09,4631.21,781.5,75.14
58,59,295000,4227.12,1419.36,230.91,5078.16,876.1,76.46
59,60,300000,4195.14,1364.8,961.03,5052.9,922.7,77.75
60,61,305000,3086.11,1863.12,74.08,4640.63,682.4,79.03
61,62,310000,4287.57,1433.18,47.13,5011.92,887.3,80.34
62,63,315000,2636.26,1720.38,539.08,4995.82,622.1,81.6
63,64,320000,4952.16,92.9,4754.92,5075.41,1000.0,82.92
64,65,325000,4732.27,93.08,4621.15,4928.84,1000.0,84.24
65,66,330000,4840.42,97.1,4659.74,4969.29,1000.0,85.58
66,67,335000,4755.66,348.39,3759.19,5036.35,977.8,86.89
67,68,340000,2368.02,1675.29,482.75,4908.27,502.8,88.15
68,69,345000,4435.99,1355.11,856.16,5310.94,866.1,89.46
69,70,350000,4615.01,1411.91,405.15,5374.42,910.0,90.78
70,71,355000,4830.0,389.45,3717.45,5178.89,975.7,92.09
71,72,360000,4268.38,1083.69,1966.16,5095.9,872.2,93.4
72,73,365000,5152.01,132.34,4988.95,5408.24,1000.0,94.73
73,74,370000,5051.45,407.74,3854.63,5333.02,976.8,96.05
74,75,375000,4248.34,1467.65,691.24,5164.17,837.3,97.34
75,76,380000,4483.45,1448.45,970.77,5532.73,931.6,98.67
76,77,385000,5344.59,124.97,5100.42,5557.73,1000.0,100.0
77,78,390000,5212.44,126.92,5012.76,5422.8,1000.0,101.32
78,79,395000,5208.37,585.45,3469.06,5506.45,963.6,102.63
79,80,400000,5463.48,115.31,5256.94,5588.98,1000.0,103.95
80,81,405000,5074.56,805.73,2677.74,5495.28,953.4,105.26
81,82,410000,4853.71,1120.56,1500.77,5373.4,929.2,106.57
82,83,415000,5156.85,979.59,2245.8,5710.09,1000.0,107.9
83,84,420000,5395.24,84.68,5244.64,5552.26,1000.0,109.2
84,85,425000,4600.61,1345.13,1170.91,5686.49,857.7,110.51
85,86,430000,5381.28,119.33,5208.05,5598.68,1000.0,111.84
86,87,435000,3997.66,1900.01,791.52,5438.87,768.7,113.14
87,88,440000,5195.63,231.09,4692.9,5485.46,987.6,114.45
88,89,445000,4251.86,1751.5,697.54,5495.2,799.6,115.74
89,90,450000,4870.94,1282.25,1531.72,5672.76,928.8,117.04
90,91,455000,4975.23,1345.53,957.94,5685.99,919.3,118.35
91,92,460000,4620.02,1722.12,282.7,5576.18,859.0,119.66
92,93,465000,5407.22,158.41,5086.66,5618.0,1000.0,120.99
93,94,470000,4979.98,1188.82,1423.01,5570.35,930.1,122.3
94,95,475000,4591.37,1365.52,1756.43,5578.05,909.3,123.6
95,96,480000,5312.18,420.03,4109.03,5673.46,1000.0,124.92
96,97,485000,5296.45,182.82,4968.63,5519.47,1000.0,126.24
97,98,490000,5044.74,1549.79,409.47,5751.5,909.4,127.54
98,99,495000,5046.3,1127.68,2320.08,5731.82,906.9,128.85
99,100,500000,5505.09,91.28,5377.48,5655.38,998.5,130.18
100,101,505000,4549.56,1776.82,826.43,5732.9,824.6,131.48
101,102,510000,5240.99,1115.19,1909.89,5837.11,936.3,132.78
102,103,515000,5401.89,185.21,5094.17,5630.63,1000.0,134.1
103,104,520000,5563.0,97.84,5425.12,5741.22,1000.0,135.42
104,105,525000,5658.26,176.13,5380.1,5886.83,1000.0,136.73
105,106,530000,5264.04,1061.58,2114.69,5911.02,937.9,138.05
106,107,535000,5613.79,131.89,5436.84,5789.75,1000.0,139.37
107,108,540000,4870.41,1481.86,1612.86,5862.75,877.2,140.67
108,109,545000,4290.14,2123.96,233.4,5884.12,772.5,141.95
109,110,550000,5546.77,83.73,5349.23,5672.6,1000.0,143.27
110,111,555000,5558.97,273.07,4824.65,5838.94,1000.0,144.6
111,112,560000,4969.06,1494.95,639.22,5864.42,892.6,145.89
112,113,565000,4519.3,1739.57,980.73,5668.15,844.4,147.2
113,114,570000,5440.32,98.09,5187.74,5582.76,1000.0,148.52
114,115,575000,5024.18,1169.47,1613.94,5603.23,917.2,149.82
115,116,580000,5614.51,148.06,5390.36,5903.61,1000.0,151.13
116,117,585000,4948.45,1415.77,759.45,5705.09,915.4,152.44
117,118,590000,5298.0,922.22,2539.37,5745.42,946.4,153.76
118,119,595000,4840.95,1387.24,1149.63,5705.22,945.0,155.07
119,120,600000,5557.65,118.96,5346.11,5820.99,1000.0,156.38
120,121,605000,5341.48,629.22,3494.68,5835.43,963.7,157.7
121,122,610000,5568.33,122.24,5369.81,5791.67,1000.0,159.01
122,123,615000,5322.49,914.42,2620.85,5839.62,945.9,160.32
123,124,620000,5630.13,177.87,5431.28,6008.62,1000.0,161.64
124,125,625000,5195.23,1238.05,1525.55,5884.54,928.6,162.96
125,126,630000,5025.9,1319.32,1161.1,5717.31,901.6,164.27
126,127,635000,5323.82,1093.41,2064.13,5847.83,940.5,165.58
127,128,640000,5395.01,858.15,2833.41,5828.07,950.6,166.9
128,129,645000,5646.88,175.92,5391.23,5951.83,998.1,168.21
129,130,650000,5652.42,140.11,5429.48,5839.47,1000.0,169.53
130,131,655000,5654.0,75.34,5459.13,5737.31,1000.0,170.85
131,132,660000,5604.12,146.19,5383.21,5826.87,1000.0,172.18
132,133,665000,4721.55,1538.97,1695.48,5812.71,831.3,173.48
133,134,670000,5702.47,181.61,5345.31,5918.51,1000.0,174.8
134,135,675000,4520.83,1876.11,472.49,5643.53,832.2,176.12
135,136,680000,4956.08,857.26,3054.36,5714.24,884.0,177.42
136,137,685000,5683.76,331.66,4792.17,5968.45,983.9,178.74
137,138,690000,5546.61,545.29,3944.51,5912.19,968.4,180.06
138,139,695000,5176.73,1185.19,2107.54,5883.54,966.3,181.38
139,140,700000,5198.02,835.32,3523.2,5757.38,929.9,182.7
140,141,705000,4628.9,1721.55,1822.24,5906.92,806.4,184.0
141,142,710000,5684.67,103.39,5509.33,5842.02,1000.0,185.32
142,143,715000,5582.37,153.12,5311.7,5803.09,1000.0,186.65
143,144,720000,5636.49,111.77,5435.83,5775.7,1000.0,187.97
144,145,725000,5719.52,137.78,5518.04,5999.82,1000.0,189.29
145,146,730000,5659.19,118.18,5409.27,5879.92,1000.0,190.63
146,147,735000,3188.42,2026.91,179.26,5579.31,591.8,191.9
147,148,740000,5692.09,124.8,5452.54,5831.13,1000.0,193.23
148,149,745000,5017.37,1751.85,198.36,6040.9,867.5,194.54
149,150,750000,4960.92,1700.84,693.66,6050.46,856.9,195.83
150,151,755000,5768.08,115.2,5564.64,5930.05,1000.0,197.15
151,152,760000,5322.61,958.72,2456.69,5738.69,946.2,198.47
152,153,765000,5726.37,152.36,5447.82,5994.11,996.2,199.79
153,154,770000,5548.05,559.91,3891.63,5911.3,1000.0,201.13
154,155,775000,5708.42,112.39,5520.25,5864.71,1000.0,202.45
