,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,214.178395,88.029734,-48.763818,253.288516,1000.0,1.312514
1,2,10000,1390.323184,159.461325,997.807752,1579.651334,1000.0,2.587789
2,3,15000,1728.966206,46.089236,1671.48378,1813.073381,1000.0,3.864505
3,4,20000,2789.4493,117.558309,2543.082214,2963.028407,1000.0,5.137926
4,5,25000,2526.831843,750.195658,954.858927,3241.207863,1000.0,6.441271
5,6,30000,2505.08634,796.193206,1150.187497,3222.196163,1000.0,7.732144
6,7,35000,3818.924095,72.047406,3723.575543,3943.145646,1000.0,9.005362
7,8,40000,4188.457309,83.030281,4081.449708,4362.531161,1000.0,10.271112
8,9,45000,4364.038425,206.360624,3834.341902,4539.119685,1000.0,11.553965
9,10,50000,4142.373821,567.318869,2822.718117,4740.789659,1000.0,12.841837
10,11,55000,5038.205064,91.807358,4792.889956,5143.114403,1000.0,14.141364
11,12,60000,5369.093302,147.508887,5035.165479,5556.262989,1000.0,15.424288
12,13,65000,5204.328478,1114.9579,1875.060646,5740.181458,1000.0,16.714634
13,14,70000,4973.783853,812.442652,2597.721792,5571.138871,1000.0,17.996049
14,15,75000,6019.894401,123.231425,5831.206024,6233.074785,1000.0,19.28562
15,16,80000,6078.170529,143.029243,5907.17387,6399.115742,1000.0,20.591315
16,17,85000,6129.004764,79.10655,5974.176763,6275.759386,1000.0,21.867671
17,18,90000,6258.478217,373.756386,5190.645658,6528.640239,1000.0,23.1428
18,19,95000,6371.104378,94.163304,6192.639741,6488.735038,1000.0,24.414666
19,20,100000,6252.343908,123.490073,5994.418401,6458.004423,1000.0,25.68218
20,21,105000,6846.115969,60.606407,6728.490332,6908.325154,1000.0,26.995636
21,22,110000,6540.022099,111.699045,6411.945503,6764.255624,1000.0,28.26626
22,23,115000,6286.965454,187.435688,6039.021839,6581.512481,1000.0,29.552642
23,24,120000,7474.637792,516.995137,5958.289005,7848.086699,1000.0,30.828603
24,25,125000,7295.689642,198.121105,6952.341893,7636.74443,1000.0,32.102284
25,26,130000,7522.700726,783.5603,5203.346519,7920.085592,1000.0,33.41001
26,27,135000,7564.621799,1404.987938,3395.899614,8389.635285,1000.0,34.709177
