,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,264.114829,17.916834,246.161225,295.926229,54.5,1.435121
1,2,10000,346.000312,8.55961,336.266716,359.951781,63.4,2.781709
2,3,15000,481.428707,57.266755,407.481241,588.631123,93.9,4.109566
3,4,20000,505.426482,132.616176,295.427354,777.24105,93.2,5.438334
4,5,25000,384.174857,69.039508,299.220729,559.864478,81.4,6.78851
5,6,30000,471.956544,102.692656,301.123279,664.796496,93.9,8.138704
6,7,35000,496.055507,108.850649,273.160399,652.146083,94.9,9.496395
7,8,40000,426.69651,84.704983,333.516383,641.90485,90.9,10.839893
8,9,45000,467.051303,85.613158,365.078257,646.481664,93.7,12.226793
9,10,50000,453.325845,22.990899,415.738515,486.144564,82.3,13.833523
10,11,55000,498.571755,32.695781,442.50586,558.614868,92.2,15.443464
11,12,60000,524.090724,62.238462,469.697976,667.769888,98.1,16.994925
12,13,65000,425.148534,30.093388,382.896298,492.396168,77.5,18.600714
13,14,70000,576.957726,87.756231,461.879547,703.892404,113.0,20.205329
14,15,75000,398.078488,118.177427,261.531986,684.438061,78.3,21.726806
15,16,80000,483.042603,69.94622,405.855183,657.006332,89.5,23.243305
16,17,85000,679.498376,165.582642,555.510103,1136.392096,133.9,24.684077
17,18,90000,497.784849,46.589326,439.020696,615.31264,92.8,26.065001
18,19,95000,469.628551,26.453565,413.051587,506.164865,86.4,27.375834
19,20,100000,465.071653,91.979993,409.147043,738.40331,86.4,28.689049
20,21,105000,545.180321,57.619148,455.428259,639.792615,108.4,30.015855
21,22,110000,647.985017,60.393644,553.976159,739.007443,120.5,31.337777
22,23,115000,474.210913,33.671746,431.426441,535.043396,91.7,32.683263
23,24,120000,585.176067,90.755719,394.244702,664.774735,108.7,34.010676
24,25,125000,583.528337,106.230408,447.250136,807.686992,116.4,35.325044
25,26,130000,635.439235,62.500221,531.058404,728.847784,118.9,36.669268
26,27,135000,628.932032,149.076412,486.323154,1028.46101,120.9,37.98985
27,28,140000,871.401873,183.154032,678.571469,1135.784881,171.0,39.318659
28,29,145000,666.406203,43.741902,609.328737,771.097687,123.9,40.658512
29,30,150000,659.990941,28.43217,632.181134,710.15647,125.0,41.993222
30,31,155000,600.174087,91.293933,509.482571,860.95187,111.6,43.318444
31,32,160000,593.956304,106.559261,474.934817,847.958785,110.2,44.642212
32,33,165000,681.257024,78.078931,508.68487,780.619358,128.2,45.983541
