,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,289.216878,3.04514,284.564678,293.789954,168.2,1.284559
1,2,10000,465.025586,203.162801,338.603306,1021.432903,295.3,2.510701
2,3,15000,434.552284,10.975575,412.747446,449.167751,211.5,3.741415
3,4,20000,387.330959,17.800952,359.771658,424.284408,168.8,4.983746
4,5,25000,359.396341,154.954969,107.334093,526.362064,278.6,6.249082
5,6,30000,429.775161,26.783791,360.796039,457.3716,200.3,7.502765
6,7,35000,403.410399,38.120162,341.915428,486.965535,234.1,8.739176
7,8,40000,328.303105,11.061555,307.532464,346.13947,185.5,9.987037
8,9,45000,927.488375,477.346355,392.92921,1641.6341,572.0,11.275983
9,10,50000,1491.581132,175.533443,1112.249771,1719.093527,898.6,12.602663
10,11,55000,1805.404697,215.467016,1233.195115,1989.436897,995.9,13.923091
11,12,60000,1701.506834,418.927259,989.679315,2154.307442,834.6,15.241324
12,13,65000,1352.955212,506.986037,844.416362,2298.465811,607.8,16.517369
13,14,70000,498.57386,309.890943,253.319477,1097.35452,334.5,17.764864
14,15,75000,749.098894,589.35863,204.71904,1842.277794,432.5,19.025568
15,16,80000,1961.39828,141.543607,1581.748403,2116.841618,1000.0,20.327598
16,17,85000,2338.118178,236.505905,1781.669297,2623.976201,919.1,21.631498
17,18,90000,2140.582241,418.88517,1580.878128,2733.175904,826.2,22.926128
18,19,95000,2543.816432,51.144884,2472.338847,2637.218337,1000.0,24.233331
19,20,100000,2545.729897,396.550972,1441.383057,2928.83928,949.3,25.537132
20,21,105000,2245.005962,426.96054,1707.092565,2914.607588,805.1,26.868826
21,22,110000,2481.427267,146.272899,2408.044025,2894.991664,985.3,28.181276
22,23,115000,2941.183379,39.57029,2882.293858,3003.702533,1000.0,29.517383
23,24,120000,2696.023516,548.812269,1306.631433,3155.961578,883.9,30.830802
24,25,125000,2838.127125,201.473975,2370.734458,3028.619461,963.3,32.131534
25,26,130000,2860.097004,76.440718,2786.424886,3059.368793,1000.0,33.444221
26,27,135000,2845.712623,53.607989,2730.922351,2932.230725,1000.0,34.760569
27,28,140000,2574.032337,620.18858,931.716376,3099.619234,818.3,36.065497
28,29,145000,2829.878491,95.821435,2714.817991,3011.073052,1000.0,37.381856
29,30,150000,2718.411349,517.406092,1307.240694,3013.916006,916.8,38.688632
