,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,814.921252,83.186473,653.11089,934.370316,1000.0,3.091185
1,2,10000,213.984294,196.43543,30.401214,567.783997,368.2,5.925111
2,3,15000,591.36759,308.290376,81.061744,861.815776,755.9,8.832878
3,4,20000,459.335151,274.829107,18.467581,841.734571,741.1,11.745957
4,5,25000,332.620702,272.088893,18.871723,775.624002,447.3,14.604483
5,6,30000,481.435398,295.734664,86.078565,848.823787,680.0,17.508686
6,7,35000,415.05395,228.609695,68.876632,909.522553,821.1,20.442527
7,8,40000,770.550005,335.537592,72.628565,1021.379621,775.5,23.419037
8,9,45000,383.014429,375.212661,58.312474,1026.039171,381.0,26.328081
9,10,50000,452.002928,373.927832,17.640149,1216.181061,429.5,29.244837
10,11,55000,699.766533,310.491478,125.336019,1061.230432,826.5,32.240294
11,12,60000,407.457552,415.325961,48.793561,1139.580868,361.5,35.144699
12,13,65000,836.4675,265.648525,205.559577,1181.242591,859.1,38.125616
13,14,70000,643.940165,378.301402,54.224713,1025.516054,653.5,41.063462
14,15,75000,441.686213,403.082837,41.790902,970.862071,414.8,43.92747
15,16,80000,1082.55711,130.642542,906.062469,1345.576545,942.6,46.881881
16,17,85000,589.209498,359.326927,135.197413,1100.726579,508.1,49.747828
17,18,90000,1106.556149,204.487469,773.395472,1418.9227,874.3,52.693477
18,19,95000,521.647909,437.586411,7.785859,1032.210929,534.1,55.563031
19,20,100000,495.434346,411.377036,5.617744,1140.494372,465.3,58.417911
20,21,105000,927.586791,418.504998,134.574217,1434.894439,775.0,61.337365
21,22,110000,689.516421,604.774732,36.160445,2140.537787,444.7,64.188494
22,23,115000,781.143726,372.025338,151.059819,1109.144693,743.3,67.096611
23,24,120000,964.623035,209.747827,345.49012,1124.506686,923.7,70.048433
24,25,125000,552.465667,439.370246,44.958856,1273.117211,466.1,72.903193
25,26,130000,862.798512,372.831424,44.076934,1130.62085,813.8,75.828556
26,27,135000,882.398557,492.927492,38.685921,1544.269255,726.3,78.740116
27,28,140000,573.090772,429.769723,39.605693,1104.189872,482.8,81.597478
28,29,145000,1618.292632,496.910994,1039.074754,2392.623307,952.2,84.548157
29,30,150000,1111.324963,575.271932,91.620649,2274.100942,766.4,87.513693
30,31,155000,996.549893,626.691646,6.965682,2288.617561,661.8,90.422488
31,32,160000,1203.550502,618.349215,138.676456,2165.865267,764.7,93.337817
32,33,165000,1630.881274,616.585274,164.801291,2511.908298,907.5,96.280593
33,34,170000,1569.188052,921.586862,52.685739,2515.379054,761.5,99.189736
34,35,175000,925.752371,528.342855,54.908147,1741.222073,653.9,102.078119
35,36,180000,1096.019347,261.871728,659.119506,1603.169591,860.9,105.074727
36,37,185000,1522.131629,904.085341,69.008795,2646.005255,723.5,108.014788
37,38,190000,1757.24702,890.104726,397.002309,2810.16353,828.9,110.939449
38,39,195000,1191.367115,689.149776,71.621695,2651.510102,735.5,113.845189
39,40,200000,1362.90915,709.840295,19.623176,2627.253268,828.6,116.769061
40,41,205000,1818.734378,901.391926,364.804553,2947.837574,817.3,119.718381
41,42,210000,1810.802234,668.533053,1062.596369,3138.022521,1000.0,122.683488
42,43,215000,1512.833274,515.038027,1003.381554,2483.854424,1000.0,125.648914
43,44,220000,1376.773134,900.330184,264.935553,3401.379242,693.7,128.542394
44,45,225000,1541.961695,807.380497,549.018392,3097.634699,715.2,131.44904
45,46,230000,1794.761133,364.235191,1088.711803,2230.225466,1000.0,134.417154
46,47,235000,2214.299475,822.852278,484.314528,3273.338472,859.6,137.402685
47,48,240000,2751.657067,1181.803696,150.924061,3712.929793,806.4,140.32595
48,49,245000,2835.382012,967.930603,13.126452,3427.110727,878.1,143.256498
49,50,250000,2423.99344,1193.102796,766.813735,3761.693784,899.8,146.195947
50,51,255000,2980.19203,1316.468554,440.966585,3932.055499,852.6,149.128636
51,52,260000,3604.506512,105.087284,3443.621538,3783.698963,1000.0,152.08694
52,53,265000,3554.109586,702.027647,1492.321885,3911.212131,987.6,155.042574
53,54,270000,2956.272377,1424.795342,208.66165,4176.553385,772.1,157.950896
54,55,275000,3203.35719,1248.473796,173.409586,4347.860525,778.5,160.8638
55,56,280000,3726.571646,172.423836,3425.124559,3999.052134,1000.0,163.824073
56,57,285000,3771.796257,65.461577,3624.313618,3854.098164,1000.0,166.778782
57,58,290000,4070.234567,656.277989,2104.121919,4360.777458,951.2,169.723369
58,59,295000,3233.235994,1311.990906,389.920309,4302.071881,770.6,172.635408
59,60,300000,3719.799337,1032.803369,1163.796089,4471.145823,863.0,175.565371
60,61,305000,3613.055492,1272.160603,350.409863,4433.10527,840.2,178.495668
61,62,310000,3655.216189,1263.677509,433.794487,4679.04142,808.0,181.417577
62,63,315000,4366.613729,430.861017,3107.69259,4662.593018,970.4,184.369703
63,64,320000,4231.392527,50.529204,4105.504539,4293.43916,1000.0,187.319426
64,65,325000,3383.958286,1361.358198,1159.273239,4677.664347,752.3,190.22463
65,66,330000,4736.28706,128.973015,4455.697868,4866.862856,999.0,193.183188
66,67,335000,2990.870943,1745.301006,414.294288,4770.483745,646.3,196.071886
67,68,340000,2544.367509,1860.244597,80.27707,4871.527166,544.8,198.941735
68,69,345000,4372.169126,1320.961866,457.62708,5213.274286,905.0,201.877138
69,70,350000,3821.102974,1186.202492,1375.132987,4803.606817,908.1,204.816677
70,71,355000,2409.318497,1709.731386,115.322269,4751.109564,731.5,207.72168
71,72,360000,3439.375101,1578.627188,466.36667,4697.203489,821.5,210.643642
72,73,365000,4719.43769,78.483647,4554.253894,4813.031341,1000.0,213.601505
73,74,370000,4577.007203,1019.007589,1533.416702,5141.613443,932.4,216.551347
74,75,375000,4272.327565,1054.164674,1931.259994,5087.526544,914.8,219.512447
75,76,380000,2920.812009,1964.504079,371.599082,4897.840152,610.2,222.41039
76,77,385000,4774.164853,331.125986,3871.6128,5102.788431,1000.0,225.375154
77,78,390000,4312.684404,1419.369698,996.680128,5070.942804,921.3,228.316693
78,79,395000,4398.075485,954.912562,1729.732045,5129.260272,970.5,231.266111
