,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,-38.599703,19.104556,-75.18424,-19.535693,1000.0,1.07206
1,2,10000,397.622422,227.081759,121.781707,790.157238,1000.0,2.110448
2,3,15000,1411.697157,399.206378,918.010972,2199.503768,1000.0,3.133587
3,4,20000,2764.966164,70.667401,2678.424113,2899.953004,1000.0,4.15833
4,5,25000,2470.444372,686.563655,1025.093115,3136.047122,1000.0,5.158811
5,6,30000,4014.007575,89.796352,3818.738863,4107.991835,1000.0,6.161014
6,7,35000,3864.410745,147.139928,3695.49918,4175.304098,1000.0,7.196909
7,8,40000,4350.821552,105.343393,4219.402343,4606.683837,1000.0,8.241705
8,9,45000,5131.119642,105.874406,4955.055218,5314.557694,1000.0,9.260573
9,10,50000,5207.662954,103.397979,5018.80266,5347.215564,1000.0,10.26122
10,11,55000,5699.281222,91.052859,5567.160227,5800.336287,1000.0,11.261816
11,12,60000,5777.377471,118.565916,5605.954858,5944.785862,1000.0,12.298449
12,13,65000,6243.149583,89.122867,6093.055599,6395.344155,1000.0,13.337397
13,14,70000,6765.464143,62.288416,6659.955637,6836.670525,1000.0,14.392605
14,15,75000,6618.07456,109.066256,6418.614953,6807.616267,1000.0,15.419233
15,16,80000,6722.953631,96.407933,6527.350805,6872.554186,1000.0,16.451731
16,17,85000,6839.527615,146.44954,6633.888361,7053.040543,1000.0,17.48091
17,18,90000,7184.632911,131.621457,6971.937404,7408.908929,1000.0,18.508124
18,19,95000,7642.030578,91.687952,7430.593665,7760.717706,1000.0,19.54567
19,20,100000,7628.731091,125.920479,7353.259265,7762.561275,1000.0,20.59258
20,21,105000,7600.622093,76.845221,7483.996695,7739.328726,1000.0,21.62831
21,22,110000,7642.57825,85.880203,7532.89331,7770.863624,1000.0,22.682419
22,23,115000,8119.882657,117.201261,7902.588981,8318.661343,1000.0,23.743559
23,24,120000,8302.874116,110.953725,8135.040156,8503.085277,1000.0,24.78861
24,25,125000,8046.642388,63.391785,7941.754076,8178.014793,1000.0,25.82256
25,26,130000,8339.80018,106.132649,8201.551573,8504.117281,1000.0,26.858389
26,27,135000,8336.566683,74.568004,8225.897049,8453.84021,1000.0,27.894168
27,28,140000,8654.302038,84.046583,8554.164197,8818.103734,1000.0,28.930657
28,29,145000,8758.570503,56.569827,8664.104776,8869.919697,1000.0,29.965459
29,30,150000,8497.887731,60.401405,8389.827835,8595.149831,1000.0,31.001702
30,31,155000,8660.829171,162.330056,8363.764111,8922.700473,1000.0,32.033191
31,32,160000,8783.435281,55.512132,8696.286993,8892.927941,1000.0,33.064936
32,33,165000,8779.802983,126.101478,8438.344795,8924.493111,1000.0,34.088965
33,34,170000,8556.35334,152.294879,8315.77534,8796.507614,1000.0,35.128333
34,35,175000,9109.459526,108.937696,8868.558246,9346.318893,1000.0,36.177716
35,36,180000,9033.777753,76.977729,8867.313213,9147.213693,1000.0,37.206434
36,37,185000,9070.570224,91.569914,8924.583073,9228.326386,1000.0,38.230632
37,38,190000,9089.848277,69.669705,9001.365317,9200.146548,1000.0,39.261704
38,39,195000,9067.175314,64.675919,8985.816553,9179.953649,1000.0,40.301872
39,40,200000,9249.568391,76.535793,9115.736445,9352.71177,1000.0,41.350827
40,41,205000,9274.795192,51.992567,9214.614934,9403.40621,1000.0,42.398599
41,42,210000,9323.691583,80.300417,9199.436823,9456.560249,1000.0,43.438289
42,43,215000,9345.033134,94.731057,9219.235794,9559.877891,1000.0,44.427049
43,44,220000,9235.704233,65.56541,9104.095126,9340.950223,1000.0,45.459541
44,45,225000,9195.36249,64.622131,9086.825154,9289.188934,1000.0,46.505114
45,46,230000,9427.146146,94.277455,9289.244129,9563.110549,1000.0,47.540233
46,47,235000,9470.423831,95.564454,9351.280519,9656.520677,1000.0,48.581781
47,48,240000,9330.461975,60.967856,9247.787466,9445.617671,1000.0,49.627915
48,49,245000,9536.143474,80.329549,9340.434497,9629.611444,1000.0,50.68082
49,50,250000,9345.084928,82.085763,9214.894187,9531.894979,1000.0,51.710968
50,51,255000,9619.632177,84.9586,9478.259352,9747.702813,1000.0,52.743391
51,52,260000,9742.275952,99.841319,9484.935728,9851.399665,1000.0,53.782037
52,53,265000,9576.695324,97.36061,9390.378549,9738.17743,1000.0,54.819611
53,54,270000,9591.223541,83.071184,9400.29606,9690.423602,1000.0,55.857305
54,55,275000,9688.250057,66.776506,9620.316974,9830.212218,1000.0,56.90804
55,56,280000,9673.387879,101.04272,9532.580562,9819.280674,1000.0,57.949663
56,57,285000,9676.820668,88.667455,9507.905447,9877.400512,1000.0,58.973549
57,58,290000,9491.840846,84.424104,9417.843024,9672.967243,1000.0,60.002871
58,59,295000,9204.039435,74.455051,9082.214323,9328.606151,1000.0,61.029814
59,60,300000,9649.008553,143.449573,9430.719554,9882.087194,1000.0,62.072524
60,61,305000,9714.699716,127.500784,9532.072041,9967.062565,1000.0,63.123216
61,62,310000,9556.782953,91.561101,9423.452814,9766.750668,1000.0,64.167926
62,63,315000,10109.861716,56.518226,9988.82284,10177.914841,1000.0,65.201189
63,64,320000,10033.266277,181.915478,9653.801509,10260.980429,1000.0,66.23988
64,65,325000,9760.141908,131.745865,9493.7529,9988.392262,1000.0,67.285074
65,66,330000,9970.296523,97.245058,9798.363444,10135.515802,1000.0,68.333964
66,67,335000,10129.90485,66.774349,10007.759544,10233.358208,1000.0,69.371785
67,68,340000,10000.636345,90.625607,9818.575972,10128.209852,1000.0,70.402748
68,69,345000,9794.13646,57.427502,9669.343408,9895.609591,1000.0,71.428846
69,70,350000,9957.185883,84.443703,9788.129907,10107.98543,1000.0,72.456234
70,71,355000,10218.47583,50.710945,10122.510841,10302.862641,1000.0,73.487838
71,72,360000,9620.914236,90.734876,9459.686211,9765.20262,1000.0,74.529485
72,73,365000,10248.52835,87.825918,10038.153357,10346.250409,1000.0,75.574688
73,74,370000,10185.285855,58.712859,10080.303938,10280.996199,1000.0,76.627161
74,75,375000,10386.027803,91.28279,10209.252747,10497.881306,1000.0,77.657735
75,76,380000,10151.3225,82.341534,10021.699679,10294.341276,1000.0,78.694821
76,77,385000,10276.252458,52.60345,10201.421601,10363.924578,1000.0,79.731647
77,78,390000,10267.370266,113.243947,10043.420444,10420.494211,1000.0,80.767347
78,79,395000,10210.74321,84.833873,10039.694922,10343.767354,1000.0,81.80248
79,80,400000,10080.288449,55.399184,9992.716675,10187.52616,1000.0,82.832369
80,81,405000,10251.008836,117.67691,10016.062051,10456.888126,1000.0,83.867474
81,82,410000,10446.277289,70.173906,10356.428381,10548.716712,1000.0,84.907069
82,83,415000,10310.467048,100.651017,10111.439982,10421.527205,1000.0,85.941081
83,84,420000,10320.414894,101.72156,10094.205927,10426.647435,1000.0,86.97564
84,85,425000,10310.604254,133.781014,10116.620573,10526.753152,1000.0,88.009707
85,86,430000,10490.970071,99.511538,10315.150409,10628.876172,1000.0,89.055015
86,87,435000,9796.660829,68.577352,9638.410337,9878.020434,1000.0,90.104675
87,88,440000,10554.514952,51.295409,10486.398691,10681.432513,1000.0,91.138913
88,89,445000,10396.322347,102.070575,10262.597409,10604.423247,1000.0,92.188287
89,90,450000,10176.978264,77.495052,10071.453328,10314.7149,1000.0,93.239479
90,91,455000,10576.123039,119.125953,10296.324323,10714.827423,1000.0,94.290025
91,92,460000,10717.371369,112.517021,10532.706388,10863.170034,1000.0,95.335578
92,93,465000,10232.826529,142.528535,9992.090839,10437.09957,1000.0,96.364706
93,94,470000,10160.789279,117.216188,9990.290969,10370.903191,1000.0,97.38749
94,95,475000,10364.022829,100.696598,10139.334724,10519.602045,1000.0,98.417935
95,96,480000,10870.019881,114.947888,10753.511848,11094.275849,1000.0,99.449275
96,97,485000,10498.048011,127.043848,10225.009788,10679.54956,1000.0,100.472798
97,98,490000,10758.846896,114.974912,10584.139522,11004.086706,1000.0,101.48535
98,99,495000,10886.789801,105.896803,10700.093194,11052.830188,1000.0,102.516506
99,100,500000,10765.013597,99.381303,10571.19957,10916.386639,1000.0,103.542668
100,101,505000,10704.786621,102.473218,10538.692461,10849.894261,1000.0,104.595221
101,102,510000,10835.160818,55.362105,10742.875837,10939.631976,1000.0,105.62287
102,103,515000,10510.629571,61.925209,10359.464422,10604.493427,1000.0,106.648711
103,104,520000,10770.209683,148.245074,10584.502188,11115.39046,1000.0,107.700075
104,105,525000,10620.650387,65.551224,10540.680541,10757.737762,1000.0,108.750826
105,106,530000,10872.632397,97.916189,10691.932525,11009.803463,1000.0,109.801514
106,107,535000,11100.514807,76.434892,10914.218726,11221.795914,1000.0,110.833931
107,108,540000,10618.753699,1075.392021,7406.127825,11085.562838,1000.0,111.868942
108,109,545000,10715.628857,117.634467,10547.335538,10895.968617,1000.0,112.909752
109,110,550000,10990.283251,97.364763,10756.518009,11127.61855,1000.0,113.949001
110,111,555000,10782.666469,95.335692,10591.559513,10948.774535,1000.0,114.990393
111,112,560000,10974.937495,165.75441,10658.558834,11251.093054,1000.0,116.020874
112,113,565000,10751.804438,89.040704,10608.227035,10902.235674,1000.0,117.046057
113,114,570000,10544.947384,92.134176,10389.535788,10715.849101,1000.0,118.0707
114,115,575000,10648.716076,174.088983,10268.827691,10879.920449,1000.0,119.096526
