,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,286.220264,18.572275,254.310164,308.717432,55.1,1.185291
1,2,10000,403.260942,58.743959,292.430164,484.342836,78.8,2.280049
2,3,15000,506.694069,75.305887,378.460877,620.917897,106.3,3.381411
3,4,20000,473.426584,57.036801,402.679505,609.289876,90.3,4.45025
4,5,25000,498.040287,68.944971,408.03804,603.396953,103.1,5.530091
5,6,30000,321.652181,42.828854,229.793636,381.15712,60.8,6.594649
6,7,35000,490.495957,84.77623,359.958919,661.714728,94.6,7.690833
7,8,40000,467.493464,76.118862,317.148625,603.713551,89.7,8.771026
8,9,45000,482.574445,62.760873,370.034989,575.950071,94.1,9.860934
9,10,50000,552.815056,76.77677,457.588754,725.119341,104.1,10.959873
10,11,55000,666.866194,160.043226,407.817779,868.475567,127.1,12.057041
11,12,60000,605.901217,168.089723,358.842308,974.018704,120.9,13.147388
12,13,65000,619.823197,128.745856,486.651547,948.321732,120.9,14.209992
13,14,70000,516.804792,81.988528,396.646717,634.346329,101.1,15.237636
14,15,75000,681.621146,217.138823,434.628991,1178.597109,136.5,16.296929
15,16,80000,696.326762,189.759047,452.970405,1075.007975,140.8,17.354764
16,17,85000,628.98996,122.659958,479.30928,847.845429,122.1,18.385591
17,18,90000,642.06559,128.107653,485.671224,856.195327,123.1,19.483949
18,19,95000,701.97071,123.018909,546.383609,990.187628,135.4,20.566781
19,20,100000,612.928231,102.828739,452.721615,847.261343,118.8,21.669427
20,21,105000,758.186162,242.144823,380.997797,1069.282332,150.3,22.76768
21,22,110000,770.228166,226.313149,416.493675,1189.360285,154.2,23.850768
22,23,115000,680.314536,187.862697,411.903519,1053.502445,134.6,24.919773
23,24,120000,852.143331,316.126168,508.779911,1551.151261,170.8,26.023366
24,25,125000,796.169004,429.473362,380.233061,1969.603086,158.8,27.099168
25,26,130000,976.895068,458.927782,407.405484,1987.820306,188.1,28.174562
26,27,135000,925.935975,170.422285,734.686946,1226.142155,176.7,29.242
27,28,140000,1188.713142,586.175902,642.840927,2754.749222,227.6,30.3163
28,29,145000,959.049126,229.546207,672.195024,1504.038766,182.1,31.417996
29,30,150000,885.089517,106.285798,729.702464,1067.0476,172.8,32.527967
30,31,155000,775.012888,219.705481,557.870201,1312.421051,155.4,33.625262
31,32,160000,1679.750202,693.04188,903.264576,3093.246585,331.1,34.763412
32,33,165000,1070.297632,474.29415,568.68835,2167.347184,209.6,35.876113
33,34,170000,1058.158455,342.658057,715.626402,1730.73541,203.3,36.985674
34,35,175000,1172.508676,417.795812,783.649577,2217.266995,230.3,38.101188
35,36,180000,1385.320451,890.393892,552.523613,3307.147263,275.0,39.22585
36,37,185000,1058.714437,892.193425,289.141218,2914.270113,213.6,40.360283
