,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,412.744167,13.123981,393.28491,434.304834,220.2,1.017214
1,2,10000,369.532717,16.04905,345.343086,393.445921,191.4,1.991284
2,3,15000,498.635683,171.150023,372.242624,979.214074,339.2,2.998302
3,4,20000,295.871079,44.509605,254.395223,413.491371,188.3,3.976933
4,5,25000,527.058317,250.234228,113.727531,999.962338,365.8,4.955284
5,6,30000,338.781938,12.013688,320.660132,355.598646,169.8,5.914333
6,7,35000,322.233255,12.161789,300.950043,340.668919,159.4,6.874428
7,8,40000,324.724919,81.565226,250.610301,547.113456,142.7,7.844837
8,9,45000,399.785397,18.411352,359.929438,434.860739,180.6,8.829934
9,10,50000,576.330342,54.025773,517.079729,686.479569,222.3,9.814353
10,11,55000,743.69732,102.326672,623.313716,926.738925,308.5,10.786129
11,12,60000,692.966067,30.98926,665.845849,779.300489,296.4,11.76127
12,13,65000,682.233974,16.621563,668.600097,717.444676,267.9,12.729334
13,14,70000,651.58906,35.441819,606.301174,710.509464,269.9,13.693136
14,15,75000,832.622449,33.271662,794.350099,895.607549,307.2,14.683939
15,16,80000,975.835145,33.327492,905.913437,1015.248772,402.1,15.696581
16,17,85000,950.367651,27.771364,912.47165,1012.530076,363.7,16.680518
17,18,90000,902.348377,76.906219,761.469267,983.410991,342.6,17.669004
18,19,95000,1531.991939,188.314742,1160.525904,1747.207131,802.2,18.708024
19,20,100000,1010.047583,108.872455,856.365026,1120.974743,347.6,19.692749
20,21,105000,1081.959999,57.335111,977.903224,1146.216499,359.6,20.645545
21,22,110000,1215.975258,169.510028,1016.251059,1633.209383,414.1,21.588417
22,23,115000,1383.418094,97.885477,1279.694079,1634.441043,531.0,22.567873
23,24,120000,461.324246,444.225316,74.474577,1176.977775,216.7,23.542842
24,25,125000,1423.354692,188.91511,868.912121,1574.017799,484.3,24.543534
