,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,117.132266,194.180729,-0.8147,596.792736,251.9,1.003436
1,2,10000,399.906068,264.843873,97.690178,796.37257,620.9,2.012826
2,3,15000,408.721501,207.106052,53.708544,673.363479,774.2,3.05395
3,4,20000,434.713213,298.067124,26.01155,864.55376,659.7,4.08243
4,5,25000,479.998435,228.071433,99.23955,820.391557,760.7,5.132771
5,6,30000,745.398355,188.876055,241.991371,901.594156,936.5,6.177771
6,7,35000,589.508853,271.070629,50.100796,951.648891,797.3,7.193876
7,8,40000,406.440417,362.283952,24.637001,930.350859,487.9,8.173939
8,9,45000,409.433385,307.574854,21.694494,830.545041,561.2,9.168433
9,10,50000,575.257745,333.833171,99.189912,976.207878,633.3,10.195544
10,11,55000,560.5478,427.534289,32.865665,1045.161504,620.6,11.193536
11,12,60000,612.036012,312.3546,119.139128,904.727023,737.5,12.207486
12,13,65000,695.07301,321.266632,39.66466,998.150271,810.3,13.230829
13,14,70000,777.610438,262.560147,31.349302,1071.447067,903.3,14.266481
14,15,75000,498.343433,376.010608,-0.692723,925.128422,552.1,15.257424
15,16,80000,903.08936,206.896997,426.960967,1303.498243,924.2,16.294431
16,17,85000,571.123006,330.4719,91.298971,961.228947,663.3,17.2966
17,18,90000,747.977497,361.313091,47.956095,1010.725707,748.0,18.308594
18,19,95000,804.231395,341.360731,57.298201,1196.027179,760.1,19.325185
19,20,100000,531.138407,423.033083,22.80243,1064.871673,542.7,20.323612
20,21,105000,514.769368,344.21658,14.574265,959.212345,506.7,21.321619
21,22,110000,687.926727,367.204102,50.699497,1145.951397,661.7,22.343995
22,23,115000,727.676511,419.335691,108.368367,1259.479044,655.5,23.355057
23,24,120000,788.794372,398.28169,33.298972,1218.231025,682.3,24.364272
24,25,125000,688.709513,417.94984,8.303411,1114.495449,654.5,25.372186
25,26,130000,640.752599,484.621281,24.210876,1160.009978,612.0,26.390127
26,27,135000,846.246373,366.723011,110.838101,1238.868555,815.6,27.439216
27,28,140000,666.781944,398.286591,58.91165,1059.223945,647.5,28.452004
28,29,145000,541.56017,456.640997,22.713173,1222.92278,527.0,29.440581
29,30,150000,1016.535939,310.944667,194.217847,1402.762131,912.8,30.493855
30,31,155000,658.551778,447.70346,23.778212,1106.262462,624.5,31.526509
31,32,160000,625.046621,382.647769,42.453792,980.873318,643.7,32.536958
32,33,165000,926.107886,574.39608,130.122726,1981.68079,671.3,33.542326
33,34,170000,907.060799,447.730427,142.567245,1794.226456,818.5,34.566782
34,35,175000,875.881194,367.086948,47.19095,1238.66455,762.3,35.585301
35,36,180000,675.901286,462.672116,42.86105,1213.049761,585.8,36.591971
36,37,185000,652.06639,477.112993,35.182245,1444.920574,559.3,37.605463
37,38,190000,1095.487479,307.930177,833.962356,1990.840727,1000.0,38.662196
38,39,195000,931.175094,276.62767,217.760886,1426.463554,910.3,39.704838
39,40,200000,778.951602,450.598158,39.544418,1184.535805,714.4,40.716955
40,41,205000,1264.232844,384.857115,822.76943,1995.048838,881.6,41.749256
41,42,210000,936.830694,496.831148,170.757363,1785.017551,740.4,42.760325
42,43,215000,1629.713995,742.080078,157.184354,2528.789425,862.4,43.787544
43,44,220000,1225.713993,332.650959,954.986902,2135.163257,992.4,44.83835
44,45,225000,1160.94872,510.387464,133.688392,2275.558455,842.6,45.867288
45,46,230000,973.936264,912.325266,-844.600272,2248.66038,752.8,46.880798
46,47,235000,1488.987924,525.940933,990.124433,2519.255026,908.4,47.912149
47,48,240000,1159.305858,423.209988,203.509277,1766.107405,911.0,48.941507
48,49,245000,1007.92726,349.817541,73.097673,1451.531966,904.3,49.973538
49,50,250000,1139.100808,216.026103,809.043735,1507.571275,863.3,50.999621
50,51,255000,1276.684522,606.472799,394.674341,2882.099502,852.6,52.026662
51,52,260000,972.240662,789.406877,27.537437,2714.851042,617.2,53.020638
52,53,265000,1039.988501,534.927395,152.886675,1958.71707,656.5,54.016528
53,54,270000,1681.793273,779.470099,370.628615,2802.762577,872.1,55.039418
54,55,275000,1149.70807,371.269751,392.752678,1660.799277,781.1,56.077656
55,56,280000,1786.247786,805.668797,170.955607,3158.697838,832.8,57.101734
56,57,285000,1041.674127,496.841777,154.123305,1936.217874,577.8,58.103097
57,58,290000,1681.579477,651.333555,923.21283,3186.872034,1000.0,59.15445
58,59,295000,1761.987913,637.809866,527.148562,2636.788319,881.2,60.187426
59,60,300000,1281.98241,750.662067,169.686373,2593.008228,688.9,61.218205
60,61,305000,1521.596151,770.69833,101.149875,3064.68362,778.0,62.265903
61,62,310000,1251.957139,584.166828,244.442838,2267.956754,715.4,63.303615
62,63,315000,1157.564798,491.111256,502.834238,2097.153895,757.0,64.34885
63,64,320000,1345.356394,1004.433232,261.110038,3275.5653,542.0,65.367957
64,65,325000,1988.647099,895.107796,808.983605,3163.833532,925.8,66.437633
65,66,330000,2225.717144,669.919137,1058.047079,3201.284667,809.5,67.463291
66,67,335000,1515.723556,1099.636316,63.761237,3268.533601,736.4,68.471139
67,68,340000,2058.711617,928.950755,330.245294,3309.900652,806.9,69.49761
68,69,345000,1779.064794,850.137541,527.174375,3021.990946,839.0,70.538176
69,70,350000,2593.721988,965.063272,998.827739,3559.62195,981.3,71.576162
70,71,355000,1436.391765,996.845672,66.547906,3711.082926,698.4,72.581536
71,72,360000,714.24773,346.988728,139.459806,1166.538576,420.1,73.563228
72,73,365000,1977.406457,1031.526422,218.701694,3341.006415,701.1,74.59
73,74,370000,1949.561578,958.581993,274.512608,3557.739485,797.0,75.6309
74,75,375000,2179.048102,1218.044486,335.390618,3480.538193,772.3,76.662103
75,76,380000,1985.109935,966.376634,464.429099,3690.080839,845.5,77.691623
76,77,385000,2803.235119,678.711276,1103.641036,3495.408846,960.1,78.734942
77,78,390000,2043.276544,1124.22548,503.700614,3783.257932,813.7,79.760718
78,79,395000,1389.205044,638.74587,477.955155,2676.478524,729.1,80.777014
79,80,400000,2082.176084,888.432695,868.088124,3373.233399,877.2,81.810947
80,81,405000,1567.987439,738.409844,255.344916,2865.494931,683.6,82.819856
81,82,410000,2214.93539,1047.258977,95.897053,3856.855663,801.0,83.837775
82,83,415000,1294.030062,661.486051,249.390679,2608.592463,674.8,84.851418
83,84,420000,1249.165536,917.35791,180.138034,3088.354891,446.3,85.837586
84,85,425000,1690.428365,1016.023009,269.874465,3459.891167,598.0,86.839208
85,86,430000,3536.153064,202.512174,3058.657744,3773.566743,975.0,87.889516
86,87,435000,1793.007401,1432.034771,138.565891,3731.711675,525.9,88.893939
87,88,440000,1097.400498,910.729889,315.03973,3521.776662,364.6,89.886169
88,89,445000,1626.997854,658.633973,334.395042,2810.312126,696.0,90.921495
89,90,450000,3064.034102,926.679554,617.856115,3867.544224,887.7,91.970532
90,91,455000,1254.437768,1086.248231,100.62342,3776.292549,628.1,92.964793
91,92,460000,1658.138758,1102.380803,357.581147,3674.068756,715.5,93.968663
92,93,465000,2009.286929,1267.768038,386.493793,3669.879841,755.4,94.976273
93,94,470000,1329.898219,1065.877831,85.674358,3168.669257,434.6,95.945577
94,95,475000,1660.866291,920.184253,492.385113,3651.51831,604.4,96.935956
95,96,480000,1397.67485,1005.679615,62.874237,3429.466321,615.6,97.941855
96,97,485000,1522.431042,912.398487,192.190253,3625.39422,568.9,98.937196
97,98,490000,1918.915115,1285.371858,347.113535,3928.735785,646.2,99.942203
98,99,495000,2845.366929,1270.096946,25.791368,4024.559766,846.0,100.973904
99,100,500000,2096.583872,1173.96902,164.588381,3901.011292,642.0,101.978598
100,101,505000,2298.0621,975.73997,1059.598482,3786.536796,665.3,102.974641
101,102,510000,2699.230122,1228.261498,892.881392,3853.659008,726.8,103.980969
102,103,515000,3282.541178,953.47902,1501.712628,4134.902484,1000.0,105.027748
103,104,520000,2298.564392,1075.423072,1040.303423,3999.987852,730.5,106.040052
104,105,525000,2843.027559,1178.108002,581.182416,4041.861827,824.0,107.063716
105,106,530000,2918.822854,1096.898731,1118.604721,4128.309303,870.3,108.092915
106,107,535000,3219.248057,1091.957972,1445.809448,4191.395174,887.2,109.152334
107,108,540000,2559.387901,1114.92168,1075.863636,3976.543482,878.8,110.206673
108,109,545000,2034.45985,1299.368869,98.071634,3820.150036,630.1,111.204975
109,110,550000,1950.019072,1010.599788,580.762206,3722.368013,748.0,112.219817
110,111,555000,3068.507728,855.608506,1300.771012,3982.223471,946.5,113.272641
111,112,560000,2529.96012,1269.127734,418.308042,3940.187693,757.6,114.31153
112,113,565000,3247.083843,1250.589757,32.082659,4047.659302,902.1,115.348206
113,114,570000,2109.443323,1671.402188,304.720056,4295.265575,588.5,116.349996
114,115,575000,3246.710487,895.787975,1434.77676,4147.491049,831.0,117.394137
115,116,580000,2153.563107,1354.006279,248.44801,4181.877516,687.8,118.430917
116,117,585000,2508.990132,1507.018191,26.524846,4182.416672,636.7,119.451186
