,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,78.914652,8.370879,67.657338,95.206705,1000.0,1.995616
1,2,10000,156.106756,135.657814,22.790116,398.64108,1000.0,3.767745
2,3,15000,2204.936137,61.511535,2086.350691,2289.859637,1000.0,5.538651
3,4,20000,2496.469932,77.132074,2307.291964,2573.141459,1000.0,7.660787
4,5,25000,2257.148586,673.52528,1223.282123,3157.091706,1000.0,9.560776
5,6,30000,3410.170196,645.156617,1489.691179,3803.318946,1000.0,11.341014
6,7,35000,4011.751687,113.905672,3820.618729,4196.686958,1000.0,13.118742
7,8,40000,2195.244062,1136.928058,1069.217969,4485.209438,1000.0,14.883166
8,9,45000,4284.850743,1212.612913,815.910902,5141.182582,1000.0,16.65736
9,10,50000,4724.445129,52.737695,4635.181886,4806.290467,1000.0,18.46065
10,11,55000,4744.327182,84.574621,4608.873967,4872.683338,1000.0,20.476685
11,12,60000,5443.478843,40.708232,5377.321724,5505.080568,1000.0,22.298076
12,13,65000,6462.730891,73.330765,6357.848265,6593.140884,1000.0,24.197381
13,14,70000,6624.72506,88.464356,6498.244745,6779.166458,1000.0,26.018003
14,15,75000,6776.581057,72.619307,6664.291606,6889.495633,1000.0,27.873588
15,16,80000,7088.097712,70.453177,7000.818539,7220.01432,1000.0,29.720311
16,17,85000,7506.312831,97.813165,7362.040923,7643.517259,1000.0,31.584687
17,18,90000,7377.821418,107.181822,7229.688064,7582.442296,1000.0,33.502108
18,19,95000,6436.775234,1995.740991,2317.139544,7735.675949,1000.0,35.370768
19,20,100000,7094.578883,62.127142,7031.748048,7240.934841,1000.0,37.222521
20,21,105000,7463.143553,81.001578,7373.967686,7631.411229,1000.0,39.094711
21,22,110000,7990.447162,100.150931,7763.995071,8170.957039,1000.0,40.925233
22,23,115000,8194.90278,86.376505,8054.399852,8354.940966,1000.0,42.75563
23,24,120000,8312.924174,80.366209,8205.719118,8489.060478,1000.0,44.672141
24,25,125000,8273.667116,104.354338,8142.169308,8525.14474,1000.0,46.74838
25,26,130000,8093.27408,99.717452,7952.738299,8297.633704,1000.0,48.556652
26,27,135000,8256.504479,114.229025,8118.567395,8468.182679,1000.0,50.441745
27,28,140000,8483.03252,142.788532,8283.148409,8803.325726,1000.0,52.292231
28,29,145000,8451.944461,78.457158,8314.786177,8605.395918,1000.0,54.321324
29,30,150000,8712.161063,113.33971,8557.702513,8938.230723,1000.0,56.092446
30,31,155000,8827.715582,71.138417,8663.236191,8912.868622,1000.0,57.848839
31,32,160000,8774.581473,130.592191,8555.027581,8995.175404,1000.0,59.591473
32,33,165000,8535.422682,80.081583,8379.888107,8689.407964,1000.0,61.384352
33,34,170000,8103.797494,146.496107,7896.328667,8361.092069,1000.0,63.200461
34,35,175000,8724.692898,84.02683,8580.042369,8862.02154,1000.0,65.056957
35,36,180000,9016.514839,157.811756,8767.255855,9251.218396,1000.0,66.816559
36,37,185000,9082.875032,162.031371,8881.169374,9347.442694,1000.0,68.564795
37,38,190000,9074.654587,78.824543,8923.54187,9223.958553,1000.0,70.343539
38,39,195000,9311.864001,195.31871,8972.303385,9769.085781,1000.0,72.09843
39,40,200000,9334.969076,89.942912,9195.405094,9477.44247,1000.0,73.990116
40,41,205000,9286.721736,119.426041,9026.046176,9508.955634,1000.0,75.8373
41,42,210000,9375.63432,129.602007,9187.539501,9556.964227,1000.0,77.699607
42,43,215000,9464.724276,96.694616,9310.256283,9651.265274,1000.0,79.466114
43,44,220000,9195.268846,93.516605,9002.778478,9299.943757,1000.0,81.32182
44,45,225000,9400.818836,121.082658,9166.610459,9579.494121,1000.0,83.071887
45,46,230000,9658.023706,66.60251,9547.122729,9753.080232,1000.0,84.874074
46,47,235000,9589.203868,84.806873,9462.602894,9707.031864,1000.0,86.711482
47,48,240000,9765.042468,136.318076,9555.449269,10016.696868,1000.0,88.738881
48,49,245000,9821.778684,89.66834,9662.052343,9945.8788,1000.0,90.525583
49,50,250000,9596.602295,74.65803,9430.009793,9719.227565,1000.0,92.3564
50,51,255000,9623.925489,98.413617,9487.13134,9789.847021,1000.0,94.20421
51,52,260000,9599.361292,51.679276,9532.611547,9677.981204,1000.0,96.065289
52,53,265000,9838.122117,82.670873,9675.900683,9992.589868,1000.0,97.827696
53,54,270000,9825.021094,87.220193,9703.701487,10044.476136,1000.0,99.708925
54,55,275000,9825.182283,114.492203,9666.790093,10029.552345,1000.0,101.460698
55,56,280000,9547.053304,108.485749,9334.28453,9758.03728,1000.0,103.243118
56,57,285000,9150.328019,112.684698,8931.854786,9326.300731,1000.0,105.064009
57,58,290000,9830.46251,79.947306,9744.410762,9971.571498,1000.0,106.851802
58,59,295000,10186.911159,139.835976,9936.234157,10358.891627,1000.0,108.629983
59,60,300000,9836.33569,105.031973,9612.784641,9969.75583,1000.0,110.366623
60,61,305000,10157.210813,108.865938,9999.634523,10307.157113,1000.0,112.238214
61,62,310000,10032.876299,148.068634,9795.521571,10374.619608,1000.0,114.183266
62,63,315000,10238.636502,124.181731,10065.77905,10409.099347,1000.0,116.146364
63,64,320000,10290.781346,204.523501,9801.877158,10586.005346,1000.0,118.314021
64,65,325000,10163.187541,162.556417,9913.226049,10391.951662,1000.0,120.119079
65,66,330000,10483.528802,142.464725,10287.869706,10728.171985,1000.0,121.906424
66,67,335000,10098.315705,141.594079,9855.767146,10320.435161,1000.0,123.738423
67,68,340000,10281.828368,152.773202,10007.731035,10505.694962,1000.0,125.498131
68,69,345000,10605.052325,120.044294,10386.461875,10795.420958,1000.0,127.487427
69,70,350000,10264.078342,129.249149,10033.684972,10488.384818,1000.0,129.442939
70,71,355000,10550.367775,108.606486,10370.251591,10665.926894,1000.0,131.288574
71,72,360000,10428.608319,404.105952,9248.706424,10699.808863,1000.0,133.081532
72,73,365000,10394.6908,134.435675,10201.680218,10569.352276,1000.0,135.058849
73,74,370000,10655.241743,120.75226,10522.30623,10924.886686,1000.0,136.88859
74,75,375000,10447.943562,110.442255,10271.229467,10574.543417,1000.0,138.877115
75,76,380000,10748.88061,112.212646,10556.502439,10870.351473,1000.0,140.745361
76,77,385000,10533.763707,103.350977,10419.722184,10796.531114,1000.0,142.690765
77,78,390000,10709.281862,82.27206,10591.886526,10865.801441,1000.0,144.904818
78,79,395000,10762.120687,99.954835,10659.475971,10948.85942,1000.0,146.943587
79,80,400000,10816.365871,73.315012,10726.225174,10945.380855,1000.0,148.749162
80,81,405000,10413.47372,94.3069,10197.887983,10520.72209,1000.0,150.560167
81,82,410000,10712.049929,134.878757,10518.66704,10912.639487,1000.0,152.370243
82,83,415000,10622.497425,71.39079,10475.672095,10696.052827,1000.0,154.131443
83,84,420000,10801.160244,72.113278,10675.168918,10897.345289,1000.0,155.958672
