,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,181.41389,14.79342,158.306751,207.282407,36.8,2.268413
1,2,10000,237.059969,25.388569,189.736404,281.809158,54.5,4.372998
2,3,15000,288.738233,15.852337,257.039205,311.836858,58.6,6.472571
3,4,20000,479.530391,118.674983,299.788494,660.311322,98.7,8.59103
4,5,25000,402.381716,109.025748,277.180849,598.155641,86.9,10.698025
5,6,30000,375.3759,52.987912,294.097534,497.043204,76.6,12.813003
6,7,35000,565.109454,99.920204,455.787841,725.803547,112.1,14.934639
7,8,40000,449.376917,94.405353,357.968911,697.38416,90.1,17.057407
8,9,45000,397.47417,66.043542,308.80295,563.655546,77.4,19.149497
9,10,50000,566.883395,91.2962,366.833568,697.946232,112.3,21.257423
10,11,55000,526.580192,151.708043,282.668805,788.924863,107.6,23.370918
11,12,60000,481.390239,67.793272,382.710084,597.75939,98.7,25.491212
12,13,65000,486.15537,141.425855,250.709393,676.02772,92.8,27.593131
13,14,70000,617.168458,225.942146,400.650315,1233.640437,127.0,29.722676
14,15,75000,516.495636,87.397539,396.096633,725.129532,96.6,31.832258
15,16,80000,640.222565,158.051405,448.457754,972.091878,129.5,33.964049
16,17,85000,693.853438,264.218336,413.749398,1231.66041,138.4,36.084492
17,18,90000,560.340706,188.291222,361.107707,997.568231,116.5,38.221939
18,19,95000,701.450473,255.193345,404.626889,1267.91028,143.0,40.353975
19,20,100000,659.251999,208.165129,263.603689,1128.088387,128.3,42.476307
20,21,105000,583.736634,96.204753,440.461038,780.790388,121.4,44.609893
21,22,110000,705.648736,231.732514,300.287199,1066.863951,146.5,46.743489
22,23,115000,655.811215,193.92549,432.28793,997.99292,137.0,48.866503
23,24,120000,723.086627,169.680246,432.803364,1001.953776,152.4,51.009396
24,25,125000,804.715737,232.905553,372.719964,1145.00804,164.6,53.142605
25,26,130000,781.740376,247.217556,448.481096,1229.598809,155.9,55.291854
26,27,135000,1004.165721,424.237351,547.843355,1782.323945,195.6,57.4451
27,28,140000,1072.483829,205.84484,675.408838,1361.703942,212.0,59.596832
28,29,145000,1022.903448,383.280705,680.856403,2042.439883,206.1,61.740872
29,30,150000,958.305922,275.272073,508.533832,1454.188729,198.4,63.87039
30,31,155000,808.430972,204.627907,649.801766,1390.336292,154.6,66.006453
31,32,160000,755.760128,239.379172,432.753167,1297.004688,162.1,68.143522
32,33,165000,1471.94344,863.137651,491.792106,3605.896567,301.1,70.329209
33,34,170000,1073.869857,506.960779,533.99248,2054.578746,215.3,72.4786
34,35,175000,1055.508839,152.270089,774.658473,1360.119417,216.3,74.651122
35,36,180000,1149.478321,270.238987,870.07729,1587.052868,223.2,76.810823
36,37,185000,1005.342745,595.137624,433.596681,2579.72554,201.7,78.9599
37,38,190000,850.641013,233.26116,428.169192,1272.589659,170.1,81.098362
38,39,195000,1323.899883,681.742523,632.406983,2789.099788,257.9,83.248346
39,40,200000,1054.930563,330.638177,666.26723,1775.777434,207.2,85.400564
40,41,205000,1120.854761,338.11317,746.777678,1859.926211,216.4,87.570104
41,42,210000,1635.603013,771.255022,761.346577,3499.810849,340.7,89.760403
42,43,215000,1624.116142,888.402776,692.120291,3850.575614,321.9,91.940277
43,44,220000,1199.231702,310.87353,763.550691,1668.729762,241.1,94.094835
44,45,225000,1929.006256,1081.259259,419.57441,4202.487965,376.9,96.286327
45,46,230000,1834.600528,520.305416,597.720831,2707.768677,358.2,98.467516
46,47,235000,1350.457229,641.541962,843.146672,3166.221067,265.0,100.612985
47,48,240000,1635.330371,659.793206,368.291484,2597.170204,314.2,102.806751
48,49,245000,1562.492692,306.273103,978.853758,2001.180293,305.5,104.96401
49,50,250000,1396.880213,715.045615,722.243981,3066.076096,283.8,107.163907
50,51,255000,1027.642179,656.902352,432.446465,2631.691629,202.8,109.292346
51,52,260000,3497.439837,1607.698684,1258.976903,5220.589223,668.8,111.575448
52,53,265000,1907.62221,952.384757,756.725719,3384.867336,369.0,113.755589
53,54,270000,2371.96416,1379.925202,911.832157,5111.785174,465.3,115.977272
54,55,275000,2148.269661,1191.195288,1213.644451,5226.725494,413.5,118.178349
55,56,280000,3607.417767,1414.134244,1519.948868,5216.483315,696.4,120.457219
56,57,285000,1773.897238,939.022285,690.698097,3387.547228,340.5,122.644305
57,58,290000,2378.615049,1153.509465,664.563229,5135.501358,463.6,124.869086
58,59,295000,2379.687839,1281.326658,712.662747,4609.793555,457.2,127.098652
59,60,300000,3396.057362,1649.456289,998.14907,4951.468639,694.0,129.385696
60,61,305000,3167.121143,1803.878501,547.947358,5081.358825,623.8,131.670686
61,62,310000,2985.012438,1523.892851,1210.412892,5165.889147,576.0,133.920179
62,63,315000,3759.314929,1596.861993,1367.132653,5226.168441,720.0,136.183953
63,64,320000,4659.250243,1289.270813,812.880609,5223.091963,902.3,138.521211
64,65,325000,5156.975641,270.355191,4395.718737,5337.189723,977.1,140.876791
65,66,330000,4997.049299,81.632777,4867.857765,5142.483453,1000.0,143.214731
66,67,335000,4837.808144,926.4681,2122.508137,5243.723209,927.2,145.553144
67,68,340000,3223.245955,1784.215322,819.082436,5233.586237,620.7,147.83028
68,69,345000,4867.83513,792.600561,2544.856116,5239.254604,937.5,150.177138
69,70,350000,3428.048407,1683.97144,556.300352,5111.221421,674.3,152.455606
70,71,355000,1343.63177,693.294751,437.215045,2676.805936,259.2,154.606523
71,72,360000,2044.296305,1267.067924,677.686099,4245.640514,390.0,156.799414
72,73,365000,4224.290671,1354.529666,1828.299231,5283.956717,806.2,159.107581
73,74,370000,3619.250578,1453.781017,1738.201503,5306.643629,689.4,161.385088
74,75,375000,3328.890871,1496.498473,1168.544443,5244.679644,644.6,163.628194
75,76,380000,4442.770089,1174.522867,1729.828997,5238.422259,856.0,165.973621
76,77,385000,2617.252284,1778.755696,630.617688,5244.958959,499.9,168.192984
77,78,390000,3744.578077,1733.445171,777.178051,5208.322878,724.8,170.485193
78,79,395000,2829.630114,1707.388582,491.635388,5283.530785,534.3,172.73993
79,80,400000,1810.469613,1263.567565,641.03361,5051.131931,353.3,174.934705
80,81,405000,3286.513622,1985.543188,675.648353,5313.214007,624.9,177.207868
81,82,410000,4491.417058,1189.816138,1507.819578,5334.334081,850.9,179.51928
82,83,415000,4062.726514,1544.108226,1455.605832,5335.592204,765.2,181.817181
83,84,420000,4223.2325,1799.897521,667.661887,5346.770636,791.6,184.125443
84,85,425000,3640.403365,1798.074599,1049.249406,5397.422353,681.2,186.389178
85,86,430000,4763.646624,1218.633677,1973.848012,5394.231068,888.4,188.689069
86,87,435000,4931.648903,1381.980111,786.271844,5423.174728,915.0,191.037183
87,88,440000,4576.848739,1066.258081,2283.483294,5316.968489,865.0,193.366729
88,89,445000,5078.303882,920.423389,2319.70388,5432.275381,943.6,195.725196
89,90,450000,3979.293063,1725.800389,1541.743438,5456.893187,742.4,198.008642
90,91,455000,4422.504267,1536.204636,489.188856,5322.611013,838.5,200.328755
91,92,460000,2439.685362,1419.904185,1076.326909,5417.338937,454.3,202.543796
92,93,465000,3661.264029,1643.07413,1160.226334,5369.521238,687.7,204.810431
93,94,470000,4544.539672,1547.076776,1098.976972,5361.475203,859.0,207.135348
94,95,475000,4487.350709,1623.51903,1257.792798,5422.801302,837.0,209.448803
95,96,480000,5084.391743,621.921259,3260.873777,5378.493891,952.9,211.823696
96,97,485000,5426.243803,26.235115,5393.134479,5466.475309,1000.0,214.185561
97,98,490000,5371.025807,34.761246,5309.275865,5410.07026,1000.0,216.548146
98,99,495000,5315.217838,45.313168,5196.543964,5372.127535,1000.0,218.931991
99,100,500000,4456.198756,1410.819726,715.167971,5270.279059,867.3,221.251219
100,101,505000,4728.110448,1192.871242,1407.608381,5413.080344,890.5,223.599154
101,102,510000,4499.508483,1254.465904,1485.975933,5261.955406,873.9,225.945382
102,103,515000,5372.818368,37.79935,5289.461564,5407.505185,1000.0,228.320652
103,104,520000,5134.55928,680.484071,3103.886383,5423.502223,957.3,230.664679
104,105,525000,4586.538291,1641.266328,739.138844,5417.780972,850.8,232.98323
105,106,530000,2909.68233,1674.591953,1296.430762,5273.049329,554.2,235.215334
106,107,535000,5040.348666,1076.995392,1810.72531,5453.208176,933.7,237.561853
107,108,540000,5308.675639,38.54711,5205.334147,5347.832456,1000.0,239.927807
108,109,545000,3967.343624,2040.732494,535.309018,5442.295984,756.5,242.207213
109,110,550000,4369.622247,1307.468782,2358.817827,5375.581808,825.5,244.558311
110,111,555000,4168.696929,1486.666355,1725.608979,5419.838758,777.9,246.831355
111,112,560000,4503.848458,1110.653126,2506.378727,5280.222506,862.4,249.194038
112,113,565000,5432.890166,19.937661,5404.281594,5468.039643,1000.0,251.565881
113,114,570000,5127.427562,174.667043,4703.042829,5260.340857,980.3,253.953696
114,115,575000,5014.652128,719.246961,2975.730335,5391.914304,943.1,256.298369
115,116,580000,4550.126203,1117.73387,1828.600551,5167.910679,894.0,258.674663
116,117,585000,4545.104678,1299.518031,2294.419046,5492.466309,842.4,260.977068
117,118,590000,5248.580055,54.493912,5158.39574,5311.75643,1000.0,263.328271
118,119,595000,5364.627927,42.022693,5266.275174,5422.173255,1000.0,265.688754
119,120,600000,5445.778723,31.938715,5378.273098,5488.759898,1000.0,268.046859
120,121,605000,5161.541025,956.860106,2291.602661,5508.885682,942.7,270.3967
121,122,610000,5346.991333,12.235771,5320.042821,5368.152471,1000.0,272.786925
122,123,615000,5099.827895,470.131233,3753.525907,5336.887292,962.6,275.121968
123,124,620000,5456.759055,37.460456,5374.352422,5496.083211,1000.0,277.470576
124,125,625000,5156.021804,753.457386,2897.03399,5462.173152,953.5,279.800169
125,126,630000,5071.387268,1005.318103,2057.519958,5467.307496,938.4,282.122076
126,127,635000,4548.55238,1480.911732,1068.048947,5481.872979,842.2,284.446966
127,128,640000,4656.253639,1478.300847,846.115132,5514.140745,865.4,286.781845
128,129,645000,5416.343146,59.491379,5274.611083,5482.177507,1000.0,289.156904
129,130,650000,5429.795453,31.206481,5369.181369,5478.473659,1000.0,291.512413
130,131,655000,4815.235919,1329.600475,1031.344551,5451.984887,894.6,293.87243
131,132,660000,3777.979425,1452.230665,1558.116666,5317.194741,722.0,296.183792
132,133,665000,5090.150172,85.026573,4962.70161,5231.288718,1000.0,298.549083
133,134,670000,5208.452677,210.012156,4580.311163,5304.78305,987.6,300.906451
134,135,675000,4057.662336,1738.331952,1186.024039,5533.702161,752.9,303.246635
135,136,680000,5137.938879,543.423864,4026.629346,5467.07809,954.9,305.623582
136,137,685000,4551.686544,1433.221895,1640.544552,5507.357828,837.3,307.942123
137,138,690000,4420.13401,997.530952,2383.430936,5348.932885,838.5,310.286263
138,139,695000,3837.166771,1925.134241,1070.417498,5484.169564,712.4,312.609825
139,140,700000,5350.64074,35.179862,5277.595777,5400.858389,1000.0,314.982261
140,141,705000,5356.811468,30.440221,5302.667763,5416.946688,1000.0,317.372496
141,142,710000,4576.822014,1130.431034,1580.037797,5412.770013,859.6,319.714077
