,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,227.453096,42.643474,173.153369,338.38731,189.7,2.016542
1,2,10000,366.896932,187.824159,63.82604,707.202644,311.3,3.899628
2,3,15000,263.126698,98.428545,63.570736,447.895268,157.0,5.762627
3,4,20000,305.619192,37.592376,229.986057,368.354461,153.7,7.61789
4,5,25000,315.413334,75.470759,189.766085,489.619756,144.3,9.47594
5,6,30000,332.807622,134.152352,137.083557,511.200316,249.3,11.345241
6,7,35000,326.695821,132.620958,134.041149,563.616116,185.7,13.205448
7,8,40000,299.315846,54.644362,226.366444,394.810465,147.8,15.055008
8,9,45000,420.35234,129.329936,222.306185,639.951012,218.1,16.917616
9,10,50000,385.289291,53.339881,242.908207,449.868776,194.8,18.773874
10,11,55000,406.201883,86.066525,242.249799,542.218002,208.0,20.63706
11,12,60000,523.675381,90.93426,419.464165,755.410155,297.4,22.516141
12,13,65000,702.84962,281.413907,403.933146,1365.249577,357.7,24.408714
13,14,70000,416.291691,87.136451,314.850835,581.058712,182.4,26.277154
14,15,75000,1189.740367,628.826997,355.207985,2172.975584,571.1,28.205774
15,16,80000,1089.386903,509.893939,306.648983,2045.823881,483.1,30.118412
16,17,85000,682.081423,484.678896,192.785886,1648.18719,285.6,31.99723
17,18,90000,612.034387,192.210702,413.470805,1080.88995,264.6,33.867514
18,19,95000,988.596447,439.10908,530.383796,1817.855262,397.7,35.775557
19,20,100000,660.449189,279.817173,127.008026,1027.143826,276.6,37.651496
20,21,105000,229.800702,112.784795,135.722448,443.426751,114.2,39.509714
21,22,110000,1204.231567,376.015097,863.003463,2054.776075,430.6,41.416942
22,23,115000,1234.304995,310.540984,923.356773,1945.095995,382.0,43.316821
23,24,120000,115.508928,10.310049,103.639324,143.576885,79.2,45.160707
24,25,125000,1518.733773,1282.839316,101.513173,3451.024606,479.6,47.06672
25,26,130000,940.649658,713.117723,151.151053,2365.959953,314.7,48.954016
26,27,135000,1640.840891,741.537672,156.708679,3099.174813,471.5,50.863015
27,28,140000,1826.095982,1112.745983,187.704321,3441.783986,564.9,52.786505
28,29,145000,2219.748615,917.591293,1274.182342,3661.373709,668.1,54.733729
29,30,150000,3230.249122,1189.219201,263.403296,4061.50874,832.5,56.699866
30,31,155000,566.559737,1010.611777,197.570633,3597.629571,196.6,58.563653
31,32,160000,3751.499087,194.503266,3310.196986,3978.782772,966.0,60.549557
32,33,165000,3603.337686,254.469723,2884.679994,3767.481689,1000.0,62.542808
33,34,170000,3825.649153,76.128233,3663.331109,3925.022105,1000.0,64.537298
34,35,175000,4065.693223,120.287015,3914.644179,4286.432697,1000.0,66.531218
35,36,180000,4254.015684,89.404866,4073.413452,4372.024547,1000.0,68.523058
36,37,185000,4200.644412,58.219515,4079.703379,4256.103672,1000.0,70.528729
