,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,-22.719915244664087,42.53974635476205,-64.15845195471351,39.28283274128064,1000.0,0.7338735024134319
1,2,10000,332.0584780481845,170.67164230233226,140.57028744540793,741.0114525099044,1000.0,1.436803444226583
2,3,15000,1249.056800699518,387.771924828363,724.7321723617982,1698.3430937931137,1000.0,2.1332016865412395
3,4,20000,2472.606845970953,41.353508283894215,2406.1019720657287,2565.067591133845,1000.0,2.824900007247925
4,5,25000,2942.845284321741,97.98906821807388,2783.344778888778,3092.188492904694,1000.0,3.512219138940176
5,6,30000,3458.246326049107,78.6542083759769,3316.005341185406,3614.787417788059,1000.0,4.20946384270986
6,7,35000,4254.810429900766,126.72192608351456,4032.713178825626,4428.100041011659,1000.0,4.891655524571736
7,8,40000,4458.6261063226975,69.60251024082686,4334.608647258636,4595.35200466327,1000.0,5.565381010373433
8,9,45000,4337.808086281912,173.37628584421338,4025.168590093076,4645.690467580036,1000.0,6.239327689011891
9,10,50000,4975.170814923729,89.94222381077363,4874.423617641101,5146.694133672621,1000.0,6.920545462767283
10,11,55000,5159.15328176161,83.4740317759669,4991.284192196559,5246.477203256025,1000.0,7.609037637710571
11,12,60000,5368.546389365858,54.44248800139992,5277.364931906543,5470.245193066672,1000.0,8.295689582824707
12,13,65000,5413.599352173912,56.968850408288766,5332.971329995347,5487.769752841183,1000.0,8.982073597113292
13,14,70000,5535.122292712447,62.99498589465957,5424.819375910638,5650.012259215335,1000.0,9.668678152561188
14,15,75000,5683.137325113837,94.20602589264212,5585.5319347592185,5896.9805920275085,1000.0,10.35575068394343
15,16,80000,5853.780585782008,90.63527998810376,5672.421455182271,5964.562741412247,1000.0,11.046070830027263
16,17,85000,6038.161650659775,88.46106110188653,5823.764167829932,6145.235733257599,1000.0,11.737062084674836
17,18,90000,6135.855804309839,78.24390735592844,5955.752051546261,6229.825817680084,1000.0,12.42615180015564
18,19,95000,6320.2986829816255,66.1759571259987,6235.086930725617,6437.63728908067,1000.0,13.121175972620646
19,20,100000,6345.567395828104,102.17977947092731,6114.182616049638,6490.832415870993,1000.0,13.8184978723526
20,21,105000,6549.5021515393255,68.9777294975773,6458.111901887557,6670.199571226974,1000.0,14.515995768706004
21,22,110000,6630.195364411522,51.13624112602356,6528.315335386873,6701.82605007028,1000.0,15.21307870944341
22,23,115000,6686.919980530703,92.45605063951756,6473.763366731137,6780.062225986114,1000.0,15.910046621163684
23,24,120000,6902.566846176104,93.13147654158163,6728.397292564523,7027.347394657177,1000.0,16.606084195772805
24,25,125000,7073.328840419893,124.8797337222954,6898.429075882324,7286.727035975724,1000.0,17.304360795021058
25,26,130000,6990.0022408999885,68.71257408375436,6855.618648835094,7106.9557324873385,1000.0,18.00246161222458
26,27,135000,7154.773513469544,123.13055994088252,6952.932010529321,7342.1069654132225,1000.0,18.70307546456655
27,28,140000,6990.830304231773,97.38112903917389,6814.5189607206585,7099.256202898167,1000.0,19.406018936634062
28,29,145000,6990.4987260736725,72.39908761808978,6873.533281192819,7102.298429587466,1000.0,20.105679575602213
29,30,150000,6943.06946404182,78.30635097729905,6769.206737487642,7062.290183309979,1000.0,20.80486848751704
30,31,155000,7460.79820335766,100.81971165889712,7245.332240683376,7572.084425327857,1000.0,21.51107505559921
31,32,160000,7405.525107704345,92.30087066499814,7262.967200012441,7568.865511430288,1000.0,22.216926459471384
32,33,165000,7399.65770483268,64.55036416352156,7321.725995071355,7503.679701004943,1000.0,22.9227254708608
33,34,170000,7307.90195794843,89.51036615545328,7174.706505622498,7430.341245172295,1000.0,23.628113504250845
34,35,175000,7550.972066366814,115.97172546066125,7300.457586093271,7686.405809752981,1000.0,24.33381639719009
35,36,180000,7739.099400641797,55.313773241177024,7617.374433705752,7796.175755892379,1000.0,25.039316781361897
36,37,185000,7510.057483520437,60.31884984050366,7414.22408808414,7606.896652119925,1000.0,25.74513056278229
37,38,190000,7640.581524486911,73.52272252143823,7530.899321314901,7730.082723075509,1000.0,26.451360754172008
38,39,195000,7835.786964666071,101.73528280459875,7602.0891312961885,7947.619915011746,1000.0,27.15735522111257
39,40,200000,7613.537346930767,127.34231687234916,7447.004049824181,7827.470711288855,1000.0,27.85755080382029
40,41,205000,7497.700172509658,75.69535289895394,7358.500130644683,7621.852516525254,1000.0,28.53003134727478
