,Epoch,TotalEnvInteracts,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,EvalEpLen,Time
0,1,5000,452.00217261474455,36.27362561448594,408.6834376445576,523.0196644813764,93.0,0.8686121543248494
1,2,10000,313.7742324342116,16.675112966051493,290.0780682459423,352.69426863251743,60.8,1.6080647190411883
2,3,15000,370.9336022435628,16.379784271232815,345.31711762279923,392.5591568035452,70.4,2.3533681631088257
3,4,20000,424.8713118371269,37.77104402724976,357.406551432011,483.27060318096096,82.4,3.091047263145447
4,5,25000,258.04494621439125,28.773584116037387,228.11175454233268,325.762526968622,48.8,3.824867518742879
5,6,30000,646.09893690791,161.0646845370327,411.5879971592313,1014.0201043664474,131.2,4.570335841178894
6,7,35000,414.18823695526544,41.824579319037866,347.10287812444136,480.55168219605343,88.6,5.320454374949137
7,8,40000,567.0113202569482,110.43958193616308,377.3123916899724,788.3442747024956,109.3,6.060602442423503
8,9,45000,557.0900332607583,36.12904380820573,492.6721363645382,618.580127068029,110.8,6.7900439341863
9,10,50000,592.3825253432778,44.72704139072263,508.966169935962,656.273481538628,116.4,7.536867634455363
10,11,55000,622.9677039596396,122.94310910963614,503.392197500668,939.0601372741404,114.7,8.289811185995738
11,12,60000,512.0040498842565,48.21013748144856,470.4360642839643,637.9807242219986,94.8,9.029991201559705
12,13,65000,635.2313331014182,159.8681009910477,371.46100214703824,891.4814968484473,122.3,9.777799212932589
13,14,70000,639.7032114931642,145.2870664204434,446.3328859802151,890.8011656615658,120.9,10.523093803723652
14,15,75000,556.0982621599767,36.54968220793685,498.9135180290889,617.8657958596026,102.9,11.277423000335691
15,16,80000,622.570939913979,176.11985719310945,335.24017582159024,861.7214130629918,122.1,12.025335482756295
16,17,85000,521.8227871141642,69.9119023377922,459.3573174587557,701.9854156155541,107.8,12.781661860148112
17,18,90000,491.0390066398037,22.40348519152018,461.2478451298877,525.1481471315857,89.9,13.532179005940757
18,19,95000,698.9856423563699,141.0602651830756,473.7344869819661,963.9260652964024,133.5,14.284466044108074
19,20,100000,581.6627837637731,99.56856566066516,507.37793228487214,783.5037926049595,107.1,15.035474995772043
20,21,105000,629.7524296259062,89.55373436014098,538.4115539445154,853.12106024654,117.9,15.790286699930826
21,22,110000,679.0387728425487,91.81716328927727,551.2894654592868,882.4325595990036,128.6,16.55040700038274
22,23,115000,773.2552894056946,276.9368470292658,368.3506819507155,1290.3975585813705,149.9,17.307404748598735
23,24,120000,651.5617738590547,116.68559346495768,511.5765781292687,829.8071320090739,120.6,18.05306799809138
24,25,125000,818.6592019643451,247.26013435702453,575.9477806478558,1380.0230196787252,158.8,18.812167501449583
25,26,130000,644.5866936224259,116.6362712098228,498.5546591117509,952.7742016503872,118.3,19.568119903405503
26,27,135000,727.4506422244431,190.6202776226722,554.0867380908369,1259.708591063993,138.8,20.326313273111975
27,28,140000,702.2728426094598,322.16168222689515,479.1240604101084,1624.3248597892712,131.9,21.061352586746217
28,29,145000,755.4565347112277,170.91347546795436,494.36029241787344,1074.604244656471,142.0,21.81709210475286
29,30,150000,982.35173343247,510.4872897483989,653.8781396962912,2438.950987723093,187.5,22.57804326613744
30,31,155000,794.3371420664262,328.87765197963165,615.0453365500534,1763.1909785771,147.9,23.32429658174515
31,32,160000,976.3506795260018,254.14282649473333,704.1665041114129,1564.1258075871394,186.5,24.08719663222631
32,33,165000,864.9911056368943,139.45082019408667,689.5588744823383,1131.7291411290205,163.5,24.847750993569694
33,34,170000,1002.8413876334196,337.5726031571017,676.9300365817995,1970.4647921859817,192.7,25.604417939980824
34,35,175000,959.5216627235748,177.47769452564012,618.2254606806003,1270.7018532099423,184.3,26.354643034935
35,36,180000,1009.224335682254,339.09117311132104,623.083394960611,1751.1449651527955,194.2,27.1205854733785
36,37,185000,1409.663791562915,348.7622862189264,781.1006396554153,2169.43261130465,273.5,27.899010610580444
37,38,190000,1481.736291693617,402.5079175659609,624.0232217121628,2193.3303464021224,288.3,28.67818365097046
38,39,195000,1787.9085906305804,575.6204280428462,887.5463374894341,2889.36391356288,346.4,29.45883386135101
39,40,200000,1012.8157901409282,222.5257605985568,751.7034599663741,1439.1663613502994,194.5,30.22902764081955
40,41,205000,840.2967850796592,145.9376692401703,691.0177420335419,1189.8181762306858,161.1,30.98241322040558
41,42,210000,844.3121134641273,249.1322035760571,518.7004908272271,1357.9271713016938,169.9,31.725989413261413
42,43,215000,1417.4064951743733,725.5469520885719,658.1108108318773,3043.9750916121493,271.5,32.502616039911906
43,44,220000,1216.943910634276,480.3508100544378,698.307349690821,2087.9920634225846,231.3,33.271711651484175
44,45,225000,2790.7788796637424,1581.3875711245498,1067.3105907435042,5197.041832066616,538.9,34.09237225055695
45,46,230000,1415.7580474624683,810.0890858977999,632.8898441749752,2686.732849658327,275.1,34.873509442806245
46,47,235000,1108.2154195671342,341.1611011081082,593.5158420966759,1650.3927952889137,207.6,35.638316941261294
47,48,240000,1518.9425885052638,726.6758314664571,817.9991267530302,2919.0378701653394,289.5,36.42429851293564
48,49,245000,2536.6331051874163,1758.8565347373467,599.0900998647107,5197.938917765936,486.3,37.22368940909704
